date,ewa,ewc
31/05/2007,18.661084,25.55809
1/06/2007,18.855053,25.863767
4/06/2007,19.035644,25.931697
5/06/2007,19.062398,25.829803
6/06/2007,18.794856,25.498652
7/06/2007,18.667773,24.904278
8/06/2007,18.848365,25.175991
11/06/2007,18.96207,25.065608
12/06/2007,18.507248,24.929751
13/06/2007,18.741348,25.303357
14/06/2007,18.794856,25.583562
15/06/2007,19.062398,25.96566
18/06/2007,19.149349,26.033588
19/06/2007,19.390138,25.829803
20/06/2007,19.363384,25.456196
21/06/2007,19.410204,25.515633
22/06/2007,19.296498,25.328831
25/06/2007,19.430269,25.108063
26/06/2007,19.095841,24.751438
27/06/2007,18.72797,24.955223
28/06/2007,19.05571,25.260902
29/06/2007,19.042332,25.354304
2/07/2007,19.47709,25.668473
3/07/2007,19.410204,25.744892
5/07/2007,19.630926,25.931697
6/07/2007,19.697812,26.186428
9/07/2007,19.858338,26.237374
10/07/2007,19.61086,26.084534
11/07/2007,19.630926,26.110008
12/07/2007,19.965354,26.6874
13/07/2007,20.018863,26.916659
16/07/2007,20.045616,26.746838
17/07/2007,19.978732,26.831748
18/07/2007,19.958666,27.171391
19/07/2007,20.199454,27.332719
20/07/2007,20.152633,27.103462
23/07/2007,20.299782,26.916659
24/07/2007,20.058994,26.475124
25/07/2007,20.132568,26.415687
26/07/2007,19.049021,25.609035
27/07/2007,18.393542,25.218447
30/07/2007,18.814921,25.328831
31/07/2007,18.754725,25.354304
1/08/2007,18.420297,25.125045
2/08/2007,18.594199,25.626018
3/08/2007,17.925343,25.133537
6/08/2007,18.380165,25.014661
7/08/2007,18.54069,25.074099
8/08/2007,19.05571,25.643
9/08/2007,18.253083,24.870314
10/08/2007,18.293214,24.938243
13/08/2007,18.333345,24.878804
14/08/2007,17.637736,24.241974
15/08/2007,16.861861,23.664584
16/08/2007,16.146185,23.367396
17/08/2007,16.674582,24.131591
20/08/2007,17.28993,24.352359
21/08/2007,17.223044,24.445761
22/08/2007,17.791572,24.861823
23/08/2007,18.340034,25.031643
24/08/2007,18.627642,25.277885
27/08/2007,18.49387,25.048626
28/08/2007,17.945409,24.403305
29/08/2007,18.580822,25.337322
30/08/2007,18.139378,24.980697
31/08/2007,18.687839,25.388268
4/09/2007,19.042332,25.71942
5/09/2007,18.460428,25.532616
6/09/2007,18.955382,25.676964
7/09/2007,18.600887,25.447705
10/09/2007,18.620953,25.337322
11/09/2007,19.309876,25.736401
12/09/2007,19.095841,26.050571
13/09/2007,19.323252,26.237374
14/09/2007,19.356695,26.398704
17/09/2007,19.002201,26.390213
18/09/2007,19.624238,27.111953
19/09/2007,20.058994,26.967605
20/09/2007,20.07906,27.120445
21/09/2007,20.199454,27.307247
24/09/2007,20.420177,27.315737
25/09/2007,20.707784,27.40065
26/09/2007,20.935195,27.485559
27/09/2007,21.102409,27.74029
28/09/2007,21.262936,27.791237
1/10/2007,21.79802,28.147864
2/10/2007,21.577296,27.927094
3/10/2007,21.490347,27.646891
4/10/2007,21.463592,27.978042
5/10/2007,21.831462,28.512979
8/10/2007,21.537166,28.385612
9/10/2007,22.112383,28.521469
10/10/2007,22.085628,28.674308
11/10/2007,22.239465,28.631854
12/10/2007,22.393301,29.064896
15/10/2007,22.072251,28.640343
16/10/2007,21.624118,28.377119
17/10/2007,21.684313,28.699781
18/10/2007,22.139135,29.268683
19/10/2007,21.289689,28.495997
22/10/2007,21.349886,28.572417
23/10/2007,21.918414,28.682798
24/10/2007,21.978611,28.716763
25/10/2007,22.038808,28.784693
26/10/2007,22.687597,29.32812
29/10/2007,22.955141,29.846076
30/10/2007,22.63409,29.557379
31/10/2007,23.215994,30.635744
1/11/2007,22.326417,29.829093
2/11/2007,22.567205,30.491395
5/11/2007,22.072251,30.270629
6/11/2007,22.520383,30.924437
7/11/2007,22.145825,30.185716
8/11/2007,22.339794,29.718708
9/11/2007,21.543854,29.073389
12/11/2007,20.574013,27.74029
13/11/2007,21.563921,28.411084
14/11/2007,21.570609,28.241263
15/11/2007,20.908441,27.08648
16/11/2007,21.162606,27.451597
19/11/2007,20.627522,26.76382
20/11/2007,21.002081,27.17988
21/11/2007,20.192766,26.500596
23/11/2007,20.440242,27.044025
26/11/2007,20.132568,27.111953
27/11/2007,20.500439,26.678909
28/11/2007,21.169295,27.426122
29/11/2007,20.975327,27.519524
30/11/2007,21.162606,27.094971
3/12/2007,21.075655,27.001569
4/12/2007,20.794736,26.492106
5/12/2007,21.055589,26.84024
6/12/2007,21.456904,27.120445
7/12/2007,21.242869,27.230828
10/12/2007,21.650871,27.40065
11/12/2007,21.082344,26.661927
12/12/2007,21.336509,26.925149
13/12/2007,21.182672,26.704383
14/12/2007,20.279716,26.560035
17/12/2007,19.530598,26.347758
18/12/2007,19.624238,26.322285
19/12/2007,19.530598,26.466633
20/12/2007,19.549484,26.577016
21/12/2007,20.088055,27.137426
24/12/2007,20.2839,27.592135
26/12/2007,20.304884,27.695286
27/12/2007,20.171989,27.678094
28/12/2007,20.367834,27.970347
31/12/2007,20.158,27.609327
2/01/2008,20.130023,27.850008
3/01/2008,20.227945,27.970347
4/01/2008,19.647405,27.274096
7/01/2008,19.598444,26.887291
8/01/2008,19.423583,26.723973
9/01/2008,19.668389,26.792738
10/01/2008,19.962156,26.904481
11/01/2008,19.353639,26.474697
14/01/2008,19.682377,26.706781
15/01/2008,18.88501,25.984744
16/01/2008,18.63321,25.279898
17/01/2008,17.982726,24.549265
18/01/2008,18.248516,24.523479
22/01/2008,17.388199,24.377352
23/01/2008,17.416176,24.626626
24/01/2008,18.150594,25.426025
25/01/2008,18.738128,25.477599
28/01/2008,19.059872,25.426025
29/01/2008,18.787089,25.958958
30/01/2008,18.325455,26.001936
31/01/2008,18.801076,26.027723
1/02/2008,19.885217,26.577846
4/02/2008,19.423583,26.13087
5/02/2008,18.50731,25.580747
6/02/2008,18.374416,25.649513
7/02/2008,18.360427,25.408833
8/02/2008,18.346438,25.821427
11/02/2008,18.451354,26.087893
12/02/2008,18.703155,26.036319
13/02/2008,18.367421,26.500485
14/02/2008,18.416382,26.285593
15/02/2008,18.69616,26.113679
19/02/2008,18.773099,26.276997
20/02/2008,18.549277,26.672399
21/02/2008,18.500316,26.655208
22/02/2008,18.766105,26.792738
25/02/2008,19.360633,27.463202
26/02/2008,19.549484,27.96175
27/02/2008,19.738333,27.96175
28/02/2008,19.45156,28.32277
29/02/2008,18.563266,27.514774
3/03/2008,18.75911,27.30848
4/03/2008,18.241521,26.990439
5/03/2008,18.605233,27.514774
6/03/2008,18.052671,26.964653
7/03/2008,17.639998,26.672399
10/03/2008,17.29727,26.001936
11/03/2008,18.017699,26.758355
12/03/2008,17.933765,26.766951
13/03/2008,18.094638,27.196735
14/03/2008,17.681966,26.835716
17/03/2008,17.283281,25.898787
18/03/2008,17.737921,26.380146
19/03/2008,17.423171,24.944667
20/03/2008,17.37421,24.944667
24/03/2008,17.849832,25.529174
25/03/2008,17.849832,26.165254
26/03/2008,18.206549,26.216828
27/03/2008,18.080649,26.216828
28/03/2008,18.031688,26.010531
31/03/2008,18.017699,26.053509
1/04/2008,18.458349,26.37155
2/04/2008,18.675178,26.732569
3/04/2008,19.066866,27.084992
4/04/2008,19.297683,27.179545
7/04/2008,19.353639,27.188139
8/04/2008,19.360633,27.231118
9/04/2008,18.892005,27.145161
10/04/2008,18.843044,27.428819
11/04/2008,18.535288,26.852908
14/04/2008,18.374416,27.059204
15/04/2008,18.745121,27.30848
16/04/2008,19.507516,28.348556
17/04/2008,19.150799,28.142262
18/04/2008,19.143806,28.494684
21/04/2008,19.710356,28.718171
22/04/2008,19.486533,28.735362
23/04/2008,19.857238,27.944558
24/04/2008,19.535494,27.789839
25/04/2008,19.535494,28.0649
28/04/2008,19.423583,28.047709
29/04/2008,19.206754,27.497584
30/04/2008,19.430578,27.90158
1/05/2008,19.556477,27.815625
2/05/2008,19.885217,28.288387
5/05/2008,20.011117,28.400131
6/05/2008,20.171989,29.010424
7/05/2008,19.486533,28.786938
8/05/2008,20.018112,29.010424
9/05/2008,20.137017,29.165147
12/05/2008,20.647612,29.612122
13/05/2008,20.465756,29.4574
14/05/2008,20.584662,29.448802
15/05/2008,20.899411,29.973139
16/05/2008,21.207167,30.359946
19/05/2008,21.11624,30.420115
20/05/2008,20.808484,30.72956
21/05/2008,20.612639,30.377137
22/05/2008,20.731544,30.437307
23/05/2008,20.374827,30.196629
27/05/2008,20.472751,29.603525
28/05/2008,20.374827,30.059098
29/05/2008,20.290895,29.809823
30/05/2008,20.472751,30.093478
2/06/2008,20.171989,30.007523
3/06/2008,19.710356,29.569145
4/06/2008,19.633416,29.354253
5/06/2008,20.004122,29.990331
6/06/2008,19.598444,29.792631
9/06/2008,19.374622,29.758247
10/06/2008,19.108833,29.190933
11/06/2008,18.940966,29.414422
12/06/2008,18.640204,28.984638
13/06/2008,18.947961,29.19953
16/06/2008,18.787089,29.680886
17/06/2008,19.115827,30.093478
18/06/2008,19.059872,30.067692
19/06/2008,19.157793,29.560547
20/06/2008,18.626215,29.061999
23/06/2008,18.69616,29.276891
24/06/2008,18.710149,28.881487
25/06/2008,18.850039,28.861649
26/06/2008,18.563266,28.551122
27/06/2008,18.815066,28.671885
30/06/2008,18.514304,28.602878
1/07/2008,18.171576,28.671885
2/07/2008,17.884804,28.059457
3/07/2008,17.870815,27.861066
7/07/2008,17.709943,27.447032
8/07/2008,17.814859,27.550541
9/07/2008,17.570055,27.30902
10/07/2008,17.884804,27.628171
11/07/2008,17.667977,27.490161
14/07/2008,17.800871,27.636799
15/07/2008,17.465137,26.877735
16/07/2008,17.919777,27.30902
17/07/2008,17.954749,27.136505
18/07/2008,17.828849,27.274518
21/07/2008,18.339443,27.71443
22/07/2008,18.339443,27.481535
23/07/2008,18.50731,27.188261
24/07/2008,18.101632,26.360191
25/07/2008,17.975733,26.618964
28/07/2008,17.318254,26.342941
29/07/2008,17.472132,26.429197
30/07/2008,17.605026,27.196887
31/07/2008,17.402187,27.041624
1/08/2008,16.919571,26.567208
4/08/2008,16.758697,25.704636
5/08/2008,16.905582,25.790894
6/08/2008,17.045471,26.092794
7/08/2008,16.751704,25.730514
8/08/2008,16.772687,25.31648
11/08/2008,16.709737,25.161217
12/08/2008,16.513893,25.092211
13/08/2008,16.325042,25.488994
14/08/2008,16.220126,25.523497
15/08/2008,16.129197,25.118089
18/08/2008,16.108215,24.988702
19/08/2008,15.91237,24.988702
20/08/2008,16.276082,25.549375
21/08/2008,16.283076,26.308437
22/08/2008,16.304059,26.084169
25/08/2008,16.073242,25.670134
26/08/2008,16.11521,25.721888
27/08/2008,16.325042,26.230806
28/08/2008,16.758697,26.515454
29/08/2008,16.660776,26.204928
2/09/2008,16.255098,25.273351
3/09/2008,16.080236,25.092211
4/09/2008,15.15697,24.255517
5/09/2008,15.101014,24.445283
8/09/2008,15.660569,24.134756
9/09/2008,14.737302,23.030665
10/09/2008,15.003092,23.668968
11/09/2008,14.856208,24.031249
12/09/2008,15.569642,24.505662
15/09/2008,14.45053,23.254933
16/09/2008,14.646375,23.392946
17/09/2008,13.807041,22.694261
18/09/2008,14.506486,23.263559
19/09/2008,15.590626,25.023206
22/09/2008,15.863409,25.126713
23/09/2008,15.688548,24.902446
24/09/2008,15.877398,24.764433
25/09/2008,16.108215,24.721305
26/09/2008,15.807453,23.953617
29/09/2008,13.849007,22.25435
30/09/2008,14.366597,22.720139
1/10/2008,14.51348,22.55625
2/10/2008,13.709119,20.710347
3/10/2008,13.625185,20.296313
6/10/2008,11.967501,19.261226
7/10/2008,11.904551,18.14851
8/10/2008,11.16314,18.597046
9/10/2008,10.869373,17.182429
10/10/2008,10.079,16.259477
13/10/2008,12.17034,18.269269
14/10/2008,11.596795,17.596463
15/10/2008,10.442712,16.17322
16/10/2008,11.16314,16.216348
17/10/2008,10.561617,16.449242
20/10/2008,11.687722,17.501581
21/10/2008,10.967295,16.544126
22/10/2008,10.183917,15.146759
23/10/2008,10.218889,15.233016
24/10/2008,9.260649,14.827608
27/10/2008,8.882949,13.620007
28/10/2008,10.072005,14.827608
29/10/2008,10.037034,15.638424
30/10/2008,10.659539,16.604506
31/10/2008,10.484678,16.544126
3/11/2008,11.051228,16.880528
4/11/2008,11.960507,18.183012
5/11/2008,11.351989,17.406697
6/11/2008,10.414734,16.578628
7/11/2008,10.876367,16.578628
10/11/2008,10.372767,16.664885
11/11/2008,9.988072,16.05246
12/11/2008,9.337589,14.724099
13/11/2008,10.155939,15.836817
14/11/2008,9.344583,15.120883
17/11/2008,9.015844,14.793105
18/11/2008,9.008849,14.689597
19/11/2008,8.337382,14.025416
20/11/2008,7.665915,12.481413
21/11/2008,8.652132,13.11109
24/11/2008,9.008849,13.956411
25/11/2008,9.428516,14.223807
26/11/2008,9.456494,14.448076
28/11/2008,9.554416,14.758603
1/12/2008,8.74306,14.094422
2/12/2008,9.127755,13.827025
3/12/2008,9.253655,13.783896
4/12/2008,8.778033,13.162845
5/12/2008,9.036827,13.318107
8/12/2008,9.680317,14.07717
9/12/2008,9.183711,13.852901
10/12/2008,9.393544,14.07717
11/12/2008,9.337589,14.13755
12/12/2008,9.365567,14.206556
15/12/2008,9.358572,14.232433
16/12/2008,10.030039,14.974246
17/12/2008,9.862172,14.92249
18/12/2008,9.407533,14.508456
19/12/2008,9.589389,14.491204
22/12/2008,9.554416,14.094422
23/12/2008,9.419742,14.338234
24/12/2008,9.629236,14.27662
26/12/2008,9.816284,14.250215
29/12/2008,9.681609,14.690308
30/12/2008,10.018296,15.042382
31/12/2008,10.482175,15.341646
2/01/2009,10.594404,15.737729
5/01/2009,10.452248,16.21303
6/01/2009,10.781452,16.617915
7/01/2009,10.362465,15.948975
8/01/2009,10.444766,16.292247
9/01/2009,10.100597,15.87856
12/01/2009,9.726501,15.095193
13/01/2009,9.539453,15.236023
14/01/2009,9.202766,14.540676
15/01/2009,9.359887,14.716713
16/01/2009,9.404778,14.910355
20/01/2009,8.611694,13.862933
21/01/2009,9.105501,14.496666
22/01/2009,8.82867,14.03897
23/01/2009,8.67155,14.51427
26/01/2009,8.723923,14.6551
27/01/2009,8.970826,14.848742
28/01/2009,9.292549,15.288835
29/01/2009,8.813706,14.892751
30/01/2009,8.686513,14.69911
2/02/2009,8.723923,14.408649
3/02/2009,9.045646,14.584685
4/02/2009,8.761333,14.663902
5/02/2009,9.000754,15.051184
6/02/2009,9.479597,15.36805
9/02/2009,9.494561,15.491277
10/02/2009,8.761333,14.769525
